Text,Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I want to start a small roadside food stall and need funds for equipment.,34200,400,14193,26.23,unemployed,Rejected
I want to make home improvements like installing solar panels.,85183,496,59800,20.5,employed,Rejected
I need funds to expand my home-based bakery to a physical store.,68100,585,17371,51.86,employed,Rejected
I need a loan to pay for a down payment on my first home.,164264,400,86477,5.06,employed,Rejected
I need funds to enroll in a professional certification program.,81965,470,32826,38.59,unemployed,Rejected
I need a loan to repair my car after an accident.,125130,360,50672,12.62,employed,Rejected
I need funds to pay for my pilot training program.,89521,765,56444,26.47,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,69780,603,4832,27.61,employed,Approved
I need funds to launch my handmade jewelry brand online.,34985,351,16623,123.72,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,153124,382,9981,11.22,employed,Rejected
I need a loan to finance my MBA and career advancement.,125847,422,33271,33.64,employed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,129897,835,35179,19.81,employed,Approved
I need funds to launch my handmade jewelry brand online.,82570,571,9577,37.47,unemployed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,102883,374,61068,5.45,employed,Rejected
I need money to purchase updated equipment for my photography business.,160937,518,35760,23.71,employed,Rejected
I want to purchase land to start an organic farming venture.,38033,550,10338,76.82,employed,Rejected
I need a loan to pay for a down payment on my first home.,162401,609,106788,27.76,employed,Rejected
I need money to purchase a food truck and start my own business.,193903,406,70328,7.12,employed,Rejected
I want to make home improvements like installing solar panels.,165024,459,37930,13.85,employed,Rejected
I need a loan to support my side business selling handmade candles.,73371,570,33016,51.96,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",44195,733,3889,52.34,employed,Rejected
I need money to buy new tools and materials for my woodworking business.,54293,568,29956,28.71,unemployed,Rejected
I want to consolidate my credit card debts into one manageable payment.,49327,377,36755,29.94,employed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,172701,451,34409,19.2,employed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,115591,340,28535,24.61,employed,Rejected
I want to make home improvements like installing solar panels.,112714,716,21257,40.52,employed,Approved
I need a loan to buy a motorcycle for daily transportation.,66413,722,12754,9.97,unemployed,Rejected
I need money to invest in a franchise business opportunity.,195612,554,42732,11.49,employed,Approved
I need money to open a small bookstore and café.,30151,781,7539,64.93,unemployed,Rejected
I want to purchase land to start an organic farming venture.,100003,533,4101,19.61,employed,Rejected
I need a loan to pay for legal fees related to my business license.,106051,585,37585,9.0,unemployed,Rejected
I need money to publish and market my self-written book.,124773,849,4617,21.4,employed,Approved
I need a loan to cover moving expenses after being transferred to another city.,66810,571,8104,11.24,unemployed,Rejected
I want to purchase land to start an organic farming venture.,102228,746,68033,43.75,employed,Rejected
I need funds to pay for my pilot training program.,171149,494,12635,12.67,unemployed,Rejected
I need a loan to start a small business.,156293,501,57531,18.47,employed,Rejected
I need money to buy new tools and materials for my woodworking business.,183356,621,33669,26.44,unemployed,Rejected
I want to start a local transportation service and need funds for a van.,101077,718,53743,26.09,unemployed,Rejected
I want to invest in livestock to start a small dairy farm.,70289,730,25847,69.11,employed,Rejected
I need money to purchase a food truck and start my own business.,126450,300,38606,19.7,employed,Rejected
I need financial assistance to launch my own YouTube content creation business.,172039,629,116811,20.62,unemployed,Rejected
I need a loan to repair my car after an accident.,154001,784,87356,10.47,employed,Approved
I need a loan to pay for a digital marketing course to grow my business.,155122,643,108272,7.17,employed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,78888,503,2600,18.58,employed,Rejected
I need money to pay for a vocational training course in plumbing.,144554,374,55321,24.11,employed,Rejected
I need funds to pay for my pilot training program.,149598,709,20342,14.03,employed,Approved
I want to make home improvements like installing solar panels.,131449,524,92214,12.57,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",166120,555,120658,7.8,employed,Rejected
I want to start a small roadside food stall and need funds for equipment.,195001,843,84177,21.35,unemployed,Rejected
I want to start a local transportation service and need funds for a van.,131867,756,98472,11.7,unemployed,Rejected
I need money to invest in stock trading and portfolio building.,87945,553,37347,53.2,unemployed,Rejected
I need a loan to finance my MBA and career advancement.,91984,750,38450,10.96,employed,Approved
I need money to start a home-based catering business.,108040,627,11561,37.39,employed,Approved
I need financial help to pay off my high-interest payday loans.,80623,692,47295,18.62,employed,Approved
I want to expand my small online clothing store.,128755,717,72121,20.72,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,36322,511,13762,89.57,employed,Rejected
I need money to open a small bookstore and café.,145037,306,40139,19.34,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,161091,525,29760,22.97,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,147308,329,45057,20.69,unemployed,Rejected
I need funds to stock inventory for my new retail store.,142523,430,71008,32.12,employed,Rejected
I need financial support to open a daycare center in my neighborhood.,175161,327,113358,6.0,employed,Rejected
I want to start a small roadside food stall and need funds for equipment.,67639,351,25844,32.6,unemployed,Rejected
I need a loan to repair my car after an accident.,139196,634,100775,19.48,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,130510,558,62644,7.94,employed,Approved
I need money to launch my own tech startup focused on AI solutions.,33653,658,22303,58.52,employed,Rejected
I need a loan to buy a reliable used car for work commuting.,28134,553,1667,64.21,employed,Rejected
I need a loan to finance my MBA and career advancement.,53088,784,8496,92.06,employed,Rejected
I want to start a small roadside food stall and need funds for equipment.,87172,677,16012,18.35,employed,Approved
I need a loan to cover hospital bills after an unexpected surgery.,48337,326,25596,52.64,unemployed,Rejected
I need funds to buy new furniture and appliances for my house.,39922,548,23845,29.25,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,168355,342,113296,16.49,unemployed,Rejected
I want to expand my small online clothing store.,152634,649,112355,3.82,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,47666,743,31129,60.29,employed,Rejected
I need financial assistance to launch my own YouTube content creation business.,66173,834,18700,71.97,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,134183,574,33177,19.47,employed,Approved
I need funds to upgrade my computer and buy software for freelance work.,138175,549,75691,25.66,unemployed,Rejected
I need a loan to support my side business selling handmade candles.,27523,806,6958,95.56,unemployed,Rejected
I need a loan to repair my car after an accident.,113015,564,37655,24.16,unemployed,Rejected
I want to consolidate my credit card debts into one manageable payment.,155430,495,32635,6.83,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,165536,546,129665,21.87,unemployed,Rejected
I need money to cover unexpected medical expenses from surgery.,44393,601,27502,43.98,employed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,194053,677,146089,18.56,unemployed,Rejected
I need funds to expand my home-based bakery to a physical store.,164281,638,93124,17.08,unemployed,Rejected
I need money to start a home-based catering business.,100379,557,16814,20.03,employed,Approved
I need funds to launch my handmade jewelry brand online.,51340,848,13552,33.37,employed,Approved
I need a loan to build a website and market my freelance services.,92482,837,38093,47.7,employed,Approved
I need a loan to install a security system at home.,97659,532,24519,29.34,unemployed,Rejected
I want to consolidate my credit card debts into one manageable payment.,160020,429,6965,14.36,employed,Rejected
I need financial support to renovate my rental apartment.,53103,802,1803,22.08,unemployed,Rejected
I need money to purchase specialized tools for my auto repair shop.,145492,751,25164,18.78,employed,Approved
I need financial help to build my dream home in the countryside.,145233,416,53521,6.39,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,171262,354,40111,8.73,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,85061,421,55548,48.87,employed,Rejected
I need a loan to upgrade my small music studio with better equipment.,119713,761,39974,28.41,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,169062,361,27013,26.59,employed,Rejected
I need a loan to repair my car after an accident.,89375,383,32439,17.11,employed,Rejected
I need money to purchase updated equipment for my photography business.,61034,302,30524,52.06,unemployed,Rejected
I need financial support to renovate my rental apartment.,28556,537,10264,83.63,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,81190,570,39652,56.61,employed,Rejected
I need funds to expand my home-based bakery to a physical store.,50087,530,10764,94.72,unemployed,Rejected
I need a loan to develop and launch my mobile app startup.,38719,361,26972,41.0,unemployed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,135121,427,91266,26.43,unemployed,Rejected
I need a loan to pay for legal fees related to my business license.,91367,812,65722,44.2,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,176771,340,85494,18.85,unemployed,Rejected
"I need a loan for home renovation, including a kitchen remodel.",43940,534,2359,111.95,unemployed,Rejected
I need a loan to buy a reliable used car for work commuting.,65925,781,43697,59.17,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,67576,746,33225,68.96,employed,Rejected
I need money to purchase specialized tools for my auto repair shop.,111215,718,43081,24.14,employed,Approved
I need a loan to buy a motorcycle for daily transportation.,106456,721,38777,35.2,unemployed,Rejected
I need funds to pay for my daughter's college tuition.,139229,390,34082,18.4,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,125952,826,87200,4.03,unemployed,Rejected
I need money to invest in a franchise business opportunity.,34209,492,12854,113.93,unemployed,Rejected
I need a loan to pay for a down payment on my first home.,33529,508,18996,67.11,employed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,134849,796,4783,9.61,employed,Approved
I need a loan to buy a motorcycle for daily transportation.,101461,314,54476,40.6,employed,Rejected
I need a loan to pay off overdue electricity and water bills.,49743,772,11090,25.53,unemployed,Rejected
I need financial support to renovate my rental apartment.,153397,579,110408,21.01,unemployed,Rejected
I need money to purchase specialized tools for my auto repair shop.,83892,767,19958,49.02,unemployed,Rejected
I need a loan to install a security system at home.,177123,820,19300,7.87,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,109096,819,1336,20.63,unemployed,Rejected
I need money to purchase a food truck and start my own business.,173862,801,118059,8.48,unemployed,Rejected
I want to purchase land to start an organic farming venture.,107147,686,43176,32.52,employed,Approved
I need a loan to finance my MBA and career advancement.,169893,692,108682,11.95,employed,Rejected
I need funds to launch my handmade jewelry brand online.,143987,690,87991,21.04,employed,Rejected
I need financial support to pay for my son's football training program.,29704,429,20339,127.65,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,135423,402,60890,29.14,employed,Rejected
I need a loan to develop and launch my mobile app startup.,127473,458,62537,7.77,unemployed,Rejected
I need a loan to support my side business selling handmade candles.,183383,707,22054,25.95,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,119617,624,95203,38.52,unemployed,Rejected
I need money to launch my own tech startup focused on AI solutions.,29410,370,21681,69.31,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,43692,744,7586,26.21,unemployed,Rejected
I need funds to stock inventory for my new retail store.,98503,329,43516,8.14,employed,Rejected
I need financial support to renovate my rental apartment.,113969,683,20080,29.15,employed,Approved
I want to start a mobile pet grooming service and need funds for supplies.,128016,484,23946,12.61,employed,Rejected
I need money to open a small bookstore and café.,182453,546,38517,20.62,employed,Rejected
I want to start a small roadside food stall and need funds for equipment.,187222,560,67932,18.76,employed,Approved
I want to start a small roadside food stall and need funds for equipment.,95400,461,58898,10.31,unemployed,Rejected
I need money to purchase a food truck and start my own business.,187493,734,120756,11.41,unemployed,Rejected
I need funds to buy new furniture and appliances for my house.,120845,794,32091,9.92,unemployed,Rejected
I need financial help to cover maternity and delivery expenses.,170683,602,6751,14.27,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,22122,350,17276,202.25,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,179138,660,50841,10.8,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,184691,399,11334,24.97,unemployed,Rejected
I need a loan to pay for a down payment on my first home.,28746,673,3953,47.35,unemployed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,128921,479,18322,14.09,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,151542,579,34681,10.41,unemployed,Rejected
I need financial support to renovate my rental apartment.,108792,417,10869,32.81,employed,Rejected
I need a loan to pay off overdue electricity and water bills.,197294,706,96885,21.05,employed,Approved
I need financial support to open a daycare center in my neighborhood.,23648,570,5049,169.84,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,196377,568,100883,22.05,unemployed,Rejected
I want to make home improvements like installing solar panels.,196904,539,7560,18.23,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,189778,364,122704,24.58,unemployed,Rejected
I need money to invest in a franchise business opportunity.,50585,443,3438,15.76,unemployed,Rejected
I need financial support to pay for my son's football training program.,50440,399,36228,40.42,employed,Rejected
I need funds to pay for my pilot training program.,138919,679,98404,35.23,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,128759,401,81694,28.79,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,28576,679,15528,67.32,unemployed,Rejected
I need a loan to finance my MBA and career advancement.,115075,401,49147,43.39,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,124369,582,17011,14.02,unemployed,Rejected
I need funds to enroll in a professional certification program.,193740,517,6598,24.29,employed,Rejected
I need money to buy new tools and materials for my woodworking business.,83850,428,27896,50.09,employed,Rejected
I need money to cover funeral expenses for a loved one.,173716,521,87129,11.67,employed,Rejected
I need a loan to start a small business.,92685,448,71807,14.59,unemployed,Rejected
I need money to cover adoption fees and related expenses.,48816,326,1973,27.94,unemployed,Rejected
I need a loan to finance my MBA and career advancement.,174364,631,46677,3.46,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",53228,731,8448,74.17,employed,Rejected
I need money to purchase specialized tools for my auto repair shop.,137512,670,78812,28.1,employed,Approved
I need money to invest in stock trading and portfolio building.,152078,526,6683,29.79,unemployed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,188647,331,126562,4.76,unemployed,Rejected
I need funds to expand my home-based bakery to a physical store.,199856,410,117277,18.58,employed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,104439,451,17540,8.91,unemployed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,119851,843,60469,20.3,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,49992,520,30593,66.38,employed,Rejected
I need money to invest in a franchise business opportunity.,108848,764,55524,28.6,employed,Approved
I need funds to launch my handmade jewelry brand online.,131873,620,34408,36.84,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,144326,368,110022,7.61,employed,Rejected
I need funds to enroll in a professional certification program.,133213,398,18054,22.09,employed,Rejected
I need money to buy new tools and materials for my woodworking business.,195639,425,93693,16.32,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",95400,619,14579,29.4,employed,Approved
I need financial help to pay off my high-interest payday loans.,192159,793,29368,10.25,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,50116,585,15821,85.05,unemployed,Rejected
"I need a loan for home renovation, including a kitchen remodel.",179644,573,48294,3.84,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,109082,659,24777,4.95,employed,Approved
I need a loan to pay for legal fees related to my business license.,38241,445,2004,121.58,employed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,76395,685,30730,42.56,unemployed,Rejected
I need a loan to buy a motorcycle for daily transportation.,117007,619,75395,22.44,employed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",60784,461,4261,74.84,employed,Rejected
I need money to start a home-based catering business.,136159,734,80570,27.05,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,91609,520,15918,42.11,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,49069,590,32891,100.77,unemployed,Rejected
I need a loan to buy a reliable used car for work commuting.,77807,704,4590,56.91,employed,Rejected
I need money to cover funeral expenses for a loved one.,99015,516,34491,14.13,unemployed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,51453,307,29223,73.07,employed,Rejected
I want to invest in livestock to start a small dairy farm.,119669,845,66570,16.78,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,124089,343,3456,27.07,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,102066,739,54008,41.72,unemployed,Rejected
I need financial support to renovate my rental apartment.,50192,714,22284,12.68,employed,Approved
I need financial help to cover unexpected veterinary bills for my pet.,114857,390,14875,29.27,employed,Rejected
I need financial assistance to launch my own YouTube content creation business.,174369,710,21616,22.56,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,109001,526,23037,24.61,employed,Rejected
I need money to publish and market my self-written book.,185996,416,134680,21.38,employed,Rejected
I want to purchase land to start an organic farming venture.,112038,451,14474,18.28,employed,Rejected
I need financial help to build my dream home in the countryside.,71713,477,11018,62.02,employed,Rejected
I need money to cover adoption fees and related expenses.,184613,805,118677,19.18,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,59572,750,31731,15.91,unemployed,Rejected
I need money to purchase a food truck and start my own business.,92004,357,67497,30.5,employed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,141043,762,8456,5.29,unemployed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,40114,392,20466,112.94,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,172129,342,50345,20.03,unemployed,Rejected
I need money to purchase specialized tools for my auto repair shop.,151430,454,60050,5.98,employed,Rejected
I need a loan to support my side business selling handmade candles.,42106,816,6654,112.44,employed,Rejected
I need money to pay for a vocational training course in plumbing.,134755,749,69517,29.2,employed,Approved
I need a loan to pay for a much-needed vacation after years of saving.,117740,589,54578,25.81,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",185383,642,87426,5.03,employed,Approved
I need funds to pay for my pilot training program.,94487,558,20709,50.83,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,172761,444,82325,16.16,unemployed,Rejected
I want to invest in livestock to start a small dairy farm.,175986,386,99744,14.37,unemployed,Rejected
I want to invest in livestock to start a small dairy farm.,195666,839,111993,5.69,unemployed,Rejected
I need money to cover unexpected medical expenses from surgery.,115052,616,29074,14.61,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,70333,531,11154,19.93,employed,Rejected
I need financial support to renovate my rental apartment.,46513,819,35506,86.8,employed,Rejected
I need a loan to support my side business selling handmade candles.,182013,434,99754,24.25,employed,Rejected
I need a loan to buy a motorcycle for daily transportation.,67407,469,3863,49.97,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,197304,543,75692,17.29,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,159987,544,127562,15.8,unemployed,Rejected
I need a loan to install a security system at home.,116427,751,37932,30.28,unemployed,Rejected
I want to start a local transportation service and need funds for a van.,158270,728,108071,9.87,employed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,85536,353,63991,54.97,unemployed,Rejected
I want to make home improvements like installing solar panels.,155242,427,11993,15.25,employed,Rejected
I need money to start a home-based catering business.,137786,825,109926,10.64,unemployed,Rejected
I need funds to enroll in a professional certification program.,78205,761,61979,35.69,employed,Rejected
I want to buy a car for my rideshare business on Uber.,33960,705,13253,111.6,employed,Rejected
I need funds to pay for my pilot training program.,41392,683,1923,47.63,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,190383,643,37070,7.65,employed,Approved
I need a loan to pay for a digital marketing course to grow my business.,143851,442,59799,24.85,employed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,24981,562,5899,76.59,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,95524,543,16970,25.9,employed,Rejected
I need a loan to finance my MBA and career advancement.,130054,768,15530,7.01,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,24308,827,8927,175.6,employed,Rejected
I need financial support to renovate my rental apartment.,132522,301,47244,34.18,employed,Rejected
I want to buy a car for my rideshare business on Uber.,69103,387,24632,56.88,employed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,162627,819,73633,23.53,employed,Approved
I need funds to pay for my pilot training program.,143243,344,51709,32.57,unemployed,Rejected
I need financial help to build my dream home in the countryside.,24257,665,12298,38.86,employed,Approved
I want to make home improvements like installing solar panels.,172542,640,12622,7.97,unemployed,Rejected
I need money to launch my own tech startup focused on AI solutions.,108748,479,61899,45.86,unemployed,Rejected
I need financial support for medical treatment abroad.,55350,364,3423,63.22,unemployed,Rejected
I need funds to buy new furniture and appliances for my house.,31483,504,11341,24.6,unemployed,Rejected
I need money to publish and market my self-written book.,124392,784,5799,17.37,employed,Approved
I need a loan to pay for a digital marketing course to grow my business.,113578,348,44506,42.24,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,116474,747,58637,26.8,unemployed,Rejected
I need a loan to support my side business selling handmade candles.,68973,808,25074,54.52,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,131280,380,79964,25.3,employed,Rejected
I need money to launch my own tech startup focused on AI solutions.,97009,628,11494,12.08,unemployed,Rejected
I need financial support to renovate my rental apartment.,100346,756,56851,44.34,employed,Approved
I need a loan to pay for a down payment on my first home.,112155,757,47210,6.93,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,187633,358,107485,5.29,unemployed,Rejected
I need money to publish and market my self-written book.,198103,463,38428,3.55,unemployed,Rejected
I need funds to pay for my daughter's college tuition.,53090,368,25007,38.55,unemployed,Rejected
I need funds to pay for my pilot training program.,168699,333,41222,26.47,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,117521,754,76225,8.54,employed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,116193,707,86139,22.03,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,49739,326,33705,34.56,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,88623,566,29124,38.64,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,72475,425,56890,19.17,employed,Rejected
I need money to invest in stock trading and portfolio building.,65260,755,45690,16.48,unemployed,Rejected
I want to purchase land to start an organic farming venture.,37023,597,28897,66.6,employed,Rejected
I need money to cover adoption fees and related expenses.,114763,820,16907,17.16,employed,Approved
I need money to cover unexpected legal expenses related to a dispute.,82058,805,24651,8.19,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,164610,432,116899,27.4,employed,Rejected
I want to expand my small online clothing store.,101078,707,69903,35.98,unemployed,Rejected
I need money to invest in a franchise business opportunity.,170706,375,84106,7.74,employed,Rejected
I need money to invest in stock trading and portfolio building.,142115,829,17821,19.41,employed,Approved
I want to invest in livestock to start a small dairy farm.,133408,814,17274,6.47,employed,Approved
I need money to purchase a food truck and start my own business.,63163,465,47486,41.39,employed,Rejected
I want to purchase land to start an organic farming venture.,156025,590,33847,6.52,employed,Approved
I need funds to upgrade my computer and buy software for freelance work.,52812,610,35962,85.71,employed,Rejected
I want to start a local transportation service and need funds for a van.,188031,472,41421,23.29,employed,Rejected
I need a loan to support my side business selling handmade candles.,167749,342,22292,4.09,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,190689,515,110205,22.28,employed,Rejected
I need financial support to pay for my son's football training program.,184407,596,80192,25.52,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,199566,715,119893,12.27,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,61439,750,32735,52.47,unemployed,Rejected
I need money to cover funeral expenses for a loved one.,109179,447,42853,23.34,unemployed,Rejected
I need a loan to pay for legal fees related to my business license.,54279,679,37808,71.39,employed,Rejected
I need funds to launch my handmade jewelry brand online.,83370,777,36058,15.63,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,56930,399,20019,14.61,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,85082,463,41988,31.1,employed,Rejected
I need a loan to buy a motorcycle for daily transportation.,150617,827,66373,23.63,unemployed,Rejected
I need financial support to pay for my son's football training program.,26075,392,17562,118.01,unemployed,Rejected
I need a loan to finance my MBA and career advancement.,76398,661,4312,10.72,unemployed,Rejected
I need financial support to pay for my son's football training program.,176635,781,3143,13.43,employed,Approved
I need financial assistance to launch my own YouTube content creation business.,55110,570,27427,52.57,unemployed,Rejected
I need a loan to buy a reliable used car for work commuting.,125010,352,74638,33.9,employed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,165024,595,51639,5.95,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,183379,421,26344,7.32,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,108889,674,27090,13.27,unemployed,Rejected
I want to start a local transportation service and need funds for a van.,30552,346,5490,24.71,unemployed,Rejected
I need money to purchase specialized tools for my auto repair shop.,156139,767,80463,9.45,employed,Approved
I want to pay off my payday loans and switch to a lower-interest option.,180712,626,104010,8.66,unemployed,Rejected
I need a loan to support my side business selling handmade candles.,152989,821,65205,26.07,unemployed,Rejected
I need money to purchase specialized tools for my auto repair shop.,24361,677,4591,109.63,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,184956,327,125410,23.85,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,33462,791,18178,48.34,unemployed,Rejected
